"unitid","institution name","year","C2022_A.Award Level code","C2022_A.CIP Code -  2020 Classification","CipTitle","C2022_A.First or Second Major","C2022_A_RV.Grand total","IDX_C"
"142115","Boise State University","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","0","-2"
"142115","Boise State University","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","0","-2"
"146719","Loyola University Chicago","2022","Master's degree","'30.52'","Digital Humanities and Textual Studies","First major","1","-2"
"146719","Loyola University Chicago","2022","Master's degree","'30.5202'","Digital Humanities","First major","1","-2"
"165671","Emmanuel College","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","0","-2"
"165671","Emmanuel College","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","0","-2"
"173160","Bethel University","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","2","-2"
"173160","Bethel University","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","Second major","3","-2"
"173160","Bethel University","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","2","-2"
"173160","Bethel University","2022","Bachelor's degree","'30.5202'","Digital Humanities","Second major","3","-2"
"190567","CUNY City College","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","3","-2"
"190567","CUNY City College","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","3","-2"
"190576","CUNY Graduate School and University Center","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","0","-2"
"190576","CUNY Graduate School and University Center","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","0","-2"
"195003","Rochester Institute of Technology","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","14","-2"
"195003","Rochester Institute of Technology","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","14","-2"
"215947","Seton Hill University","2022","Bachelor's degree","'30.52'","Digital Humanities and Textual Studies","First major","1","-2"
"215947","Seton Hill University","2022","Bachelor's degree","'30.5202'","Digital Humanities","First major","1","-2"
