year,CIP,Degree Level,Total Graduate,Mean Starting Salary,Career Outcome Rate,Employed Overall,Standard Employment Full-time,Continuing Education,Seeking Employment,Seeking Continuing Education,Temp/Contract Employee
2024,13.13,B.A.,3893,47097,82.1,54.1,47.5,27.0,12.5,5.4,1.7
2023,13.13,B.A.,5346,43652,83.5,61.9,51.7,20.6,13.1,3.2,3.4
2022,13.13,B.A.,5171,42578,81.0,59.9,51.4,19.4,16.2,2.5,3.5
2021,13.13,B.A.,4114,41012,83.6,64.4,57.5,18.4,14.4,1.9,2.9
2020,13.13,B.A.,4302,40887,78.0,60.0,50.0,17.0,17.0,4.0,4.0
2019,13.13,B.A.,3618,39713,84.0,70.0,59.0,12.0,14.0,2.0,4.0
2024,13.13,M.A.,1522,60344,88.7,70.1,56.3,17.7,6.7,4.6,1.2
2023,13.13,M.A.,2623,56220,90.4,77.6,59.0,11.4,8.9,2.4,0.5
2022,13.13,M.A.,2953,53432,86.2,79.8,66.2,5.5,12.5,1.2,1.8
2021,13.13,M.A.,2842,50905,89.3,83.1,66.1,5.2,10.3,0.3,1.9
2020,13.13,M.A.,1427,49920,78.0,76.0,57.0,6.0,15.0,1.0,2.0
2019,13.13,M.A.,1636,47983,79.0,78.0,62.0,4.0,16.0,1.0,2.0
2024,16,B.A.,3875,53015,81.5,50.1,37.1,26.9,11.7,6.0,3.3
2023,16,B.A.,5014,48169,82.8,51.8,38.5,27.3,11.8,4.6,3.5
2022,16,B.A.,5609,47875,81.5,50.2,37.2,27.5,13.2,4.9,3.9
2021,16,B.A.,4629,45729,80.7,49.9,38.8,27.3,14.0,5.1,3.0
2020,16,B.A.,5079,44361,77.0,46.0,35.0,28.0,17.0,6.0,3.0
2019,16,B.A.,4768,44080,80.0,53.0,40.0,23.0,14.0,6.0,4.0
2024,16,M.A.,495,49527,79.0,50.7,37.8,25.8,15.4,4.7,3.9
2023,16,M.A.,430,59098,81.0,54.2,34.2,25.6,17.3,1.4,5.0
2022,16,M.A.,400,60163,82.1,52.4,39.0,27.7,14.3,2.6,2.2
2021,16,M.A.,450,64391,80.0,51.3,39.3,27.0,13.9,5.6,2.6
2020,16,M.A.,325,56663,46.0,46.0,35.0,31.0,19.0,3.0,4.0
2019,16,M.A.,412,42769,49.0,48.0,36.0,31.0,15.0,4.0,4.0
